Feedback,Sentiment
"I love this product, it works great!",Positive
"Terrible experience, I want a refund.",Negative
"Absolutely fantastic, highly recommend.",Positive
Not worth the money.,Negative
Excellent customer support.,Positive
The quality is very poor.,Negative
Very satisfied with the purchase.,Positive
I’m disappointed with the service.,Negative
Works as expected.,Positive
The item arrived broken.,Negative
Great value for the price.,Positive
I hate how slow it is.,Negative
Amazing features and easy to use.,Positive
Waste of time and money.,Negative
Super happy with my order.,Positive
bad product,Negative
worst product I have ever bought,Negative
this is horrible,Negative
great experience,Positive
very bad quality,Negative
excellent performance,Positive
not happy with the product,Negative
I am very happy,Positive
"good product,Positive",
"this is a good product,Positive",
"very good quality,Positive",
"highly recommend this good product,Positive",
